Cross Validation,Accuracy,TPR,FPR,Precision,AUC,PR_curve
0,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
1,0.75,0.0,0.0,0.0,0.0,0.25
2,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
3,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
4,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
5,1.0,1.0,0.0,1.0,1.0,1.0
6,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
7,1.0,1.0,0.0,1.0,1.0,1.0
8,0.25,0.0,0.6666666666666666,0.0,0.0,0.25
9,0.75,0.0,0.0,0.0,1.0,1.0
10,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
11,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
12,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
13,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
14,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
15,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
16,0.75,0.0,0.0,0.0,1.0,1.0
17,1.0,1.0,0.0,1.0,1.0,1.0
18,0.75,0.0,0.0,0.0,1.0,1.0
19,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
20,1.0,1.0,0.0,1.0,1.0,1.0
21,0.75,0.0,0.0,0.0,1.0,1.0
22,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
23,0.75,0.0,0.0,0.0,0.0,0.25
24,0.75,0.0,0.0,0.0,1.0,1.0
25,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
26,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
27,1.0,1.0,0.0,1.0,1.0,1.0
28,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
29,0.75,0.0,0.0,0.0,1.0,1.0
30,0.75,0.0,0.0,0.0,1.0,1.0
31,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
32,1.0,1.0,0.0,1.0,1.0,1.0
33,0.75,0.0,0.0,0.0,1.0,1.0
34,1.0,1.0,0.0,1.0,1.0,1.0
35,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
36,1.0,1.0,0.0,1.0,1.0,1.0
37,0.75,0.0,0.0,0.0,1.0,1.0
38,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
39,1.0,1.0,0.0,1.0,1.0,1.0
40,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
41,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
42,0.75,0.0,0.0,0.0,1.0,1.0
43,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
44,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
45,0.75,0.0,0.0,0.0,0.0,0.25
46,1.0,1.0,0.0,1.0,1.0,1.0
47,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
48,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
49,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
50,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
51,1.0,1.0,0.0,1.0,1.0,1.0
52,1.0,1.0,0.0,1.0,1.0,1.0
53,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
54,1.0,1.0,0.0,1.0,1.0,1.0
55,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
56,1.0,1.0,0.0,1.0,1.0,1.0
57,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
58,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
59,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
60,0.75,0.0,0.0,0.0,1.0,1.0
61,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
62,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
63,1.0,1.0,0.0,1.0,1.0,1.0
64,1.0,1.0,0.0,1.0,1.0,1.0
65,1.0,1.0,0.0,1.0,1.0,1.0
66,0.75,0.0,0.0,0.0,0.0,0.25
67,1.0,1.0,0.0,1.0,1.0,1.0
68,1.0,1.0,0.0,1.0,1.0,1.0
69,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
70,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
71,0.75,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333
72,0.75,0.0,0.0,0.0,0.0,0.25
73,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
74,1.0,1.0,0.0,1.0,1.0,1.0
75,0.5,0.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
76,0.75,0.0,0.0,0.0,1.0,1.0
77,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
78,0.75,0.0,0.0,0.0,1.0,1.0
79,0.75,0.0,0.0,0.0,1.0,1.0
80,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
81,0.75,0.0,0.0,0.0,1.0,1.0
82,0.5,0.0,0.3333333333333333,0.0,0.0,0.25
83,0.25,0.0,0.6666666666666666,0.0,0.0,0.25
84,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
85,0.75,0.0,0.0,0.0,1.0,1.0
86,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
87,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
88,1.0,1.0,0.0,1.0,1.0,1.0
89,0.75,0.0,0.0,0.0,0.0,0.25
90,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
91,0.75,0.0,0.0,0.0,1.0,1.0
92,1.0,1.0,0.0,1.0,1.0,1.0
93,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
94,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
95,0.75,0.0,0.0,0.0,1.0,1.0
96,0.75,0.0,0.0,0.0,1.0,1.0
97,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.5
98,0.75,0.0,0.0,0.0,0.6666666666666667,0.5
99,0.75,0.0,0.0,0.0,1.0,1.0
